# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -1.150 -0.59409934E+00  0.35295403E+00  0.24582160E+00    0.661250
 -1.100 -0.60117216E+00  0.36140796E+00  0.23796793E+00    0.605000
 -1.050 -0.60555591E+00  0.36669795E+00  0.23112594E+00    0.551250
 -1.000 -0.60706823E+00  0.36853184E+00  0.22512307E+00    0.500000
 -0.950 -0.60554640E+00  0.36668644E+00  0.21982651E+00    0.451250
 -0.900 -0.60085042E+00  0.36102122E+00  0.21513227E+00    0.405000
 -0.850 -0.59286595E+00  0.35149004E+00  0.21095774E+00    0.361250
 -0.800 -0.58150702E+00  0.33815041E+00  0.20723640E+00    0.320000
 -0.750 -0.56671833E+00  0.32116966E+00  0.20391419E+00    0.281250
 -0.700 -0.54847730E+00  0.30082735E+00  0.20094670E+00    0.245000
 -0.650 -0.52679566E+00  0.27751366E+00  0.19829723E+00    0.211250
 -0.600 -0.50172050E+00  0.25172346E+00  0.19593519E+00    0.180000
 -0.550 -0.47333496E+00  0.22404599E+00  0.19383505E+00    0.151250
 -0.500 -0.44175830E+00  0.19515040E+00  0.19197536E+00    0.125000
 -0.450 -0.40714542E+00  0.16576739E+00  0.19033811E+00    0.101250
 -0.400 -0.36968585E+00  0.13666763E+00  0.18890816E+00    0.080000
 -0.350 -0.32960224E+00  0.10863764E+00  0.18767285E+00    0.061250
 -0.300 -0.28714820E+00  0.82454088E-01  0.18662162E+00    0.045000
 -0.250 -0.24260571E+00  0.58857532E-01  0.18574578E+00    0.031250
 -0.200 -0.19628207E+00  0.38526650E-01  0.18503829E+00    0.020000
 -0.150 -0.14850632E+00  0.22054126E-01  0.18449357E+00    0.011250
 -0.100 -0.99625410E-01  0.99252224E-02  0.18410742E+00    0.005000
 -0.050 -0.50000000E-01  0.25000000E-02  0.18387689E+00    0.001250
  0.000  0.00000000E+00  0.00000000E+00  0.18380024E+00    0.000000
  0.050  0.50000000E-01  0.25000000E-02  0.18387689E+00    0.001250
  0.100  0.99625410E-01  0.99252224E-02  0.18410742E+00    0.005000
  0.150  0.14850632E+00  0.22054126E-01  0.18449357E+00    0.011250
  0.200  0.19628207E+00  0.38526650E-01  0.18503829E+00    0.020000
  0.250  0.24260571E+00  0.58857532E-01  0.18574578E+00    0.031250
  0.300  0.28714820E+00  0.82454088E-01  0.18662162E+00    0.045000
  0.350  0.32960224E+00  0.10863764E+00  0.18767285E+00    0.061250
  0.400  0.36968585E+00  0.13666763E+00  0.18890816E+00    0.080000
  0.450  0.40714542E+00  0.16576739E+00  0.19033811E+00    0.101250
  0.500  0.44175830E+00  0.19515040E+00  0.19197536E+00    0.125000
  0.550  0.47333496E+00  0.22404599E+00  0.19383505E+00    0.151250
  0.600  0.50172050E+00  0.25172346E+00  0.19593519E+00    0.180000
  0.650  0.52679566E+00  0.27751366E+00  0.19829723E+00    0.211250
  0.700  0.54847730E+00  0.30082735E+00  0.20094670E+00    0.245000
  0.750  0.56671833E+00  0.32116966E+00  0.20391419E+00    0.281250
  0.800  0.58150702E+00  0.33815041E+00  0.20723640E+00    0.320000
  0.850  0.59286595E+00  0.35149004E+00  0.21095774E+00    0.361250
  0.900  0.60085042E+00  0.36102122E+00  0.21513227E+00    0.405000
  0.950  0.60554640E+00  0.36668644E+00  0.21982651E+00    0.451250
  1.000  0.60706823E+00  0.36853184E+00  0.22512307E+00    0.500000
  1.050  0.60555591E+00  0.36669795E+00  0.23112594E+00    0.551250
  1.100  0.60117216E+00  0.36140796E+00  0.23796793E+00    0.605000
  1.150  0.59409934E+00  0.35295403E+00  0.24582160E+00    0.661250
  1.200  0.58453618E+00  0.34168254E+00  0.25491573E+00    0.720000
  1.250  0.57269447E+00  0.32797895E+00  0.26556099E+00    0.781250
  1.300  0.55879576E+00  0.31225270E+00  0.27819163E+00    0.845000
  1.350  0.54306808E+00  0.29492294E+00  0.29343630E+00    0.911250
  1.400  0.52574281E+00  0.27640550E+00  0.31224586E+00    0.980000
  1.450  0.50705163E+00  0.25710135E+00  0.33614144E+00    1.051250
  1.500  0.48722375E+00  0.23738698E+00  0.36774423E+00    1.125000
  1.550  0.46648327E+00  0.21760664E+00  0.41206466E+00    1.201250
  1.600  0.44504690E+00  0.19806674E+00  0.48029692E+00    1.280000
  1.650  0.42312184E+00  0.17903209E+00  0.60510537E+00    1.361250
  1.700  0.40090407E+00  0.16072407E+00  0.96316782E+00    1.445000
  1.750  0.37857683E+00  0.14332042E+00  0.00000000E+00    1.531250
  1.800  0.35630949E+00  0.12695645E+00  0.00000000E+00    1.620000
  1.850  0.33425663E+00  0.11172749E+00  0.00000000E+00    1.711250
  1.900  0.31255748E+00  0.97692178E-01  0.00000000E+00    1.805000
  1.950  0.29133559E+00  0.84876426E-01  0.00000000E+00    1.901250
  2.000  0.27069876E+00  0.73277820E-01  0.00000000E+00    2.000000
  2.050  0.25073921E+00  0.62870151E-01  0.00000000E+00    2.101250
  2.100  0.23153393E+00  0.53607962E-01  0.00000000E+00    2.205000
  2.150  0.21314526E+00  0.45430904E-01  0.00000000E+00    2.311250
  2.200  0.19562158E+00  0.38267804E-01  0.00000000E+00    2.420000
  2.250  0.17899814E+00  0.32040335E-01  0.00000000E+00    2.531250
