# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -4.455  0.21027670E+02  0.44216290E+03  0.00000000E+00    9.923513
 -4.450  0.20589057E+02  0.42390925E+03  0.00000000E+00    9.901250
 -4.445  0.20160127E+02  0.40643072E+03  0.00000000E+00    9.879013
 -4.440  0.19740656E+02  0.38969351E+03  0.00000000E+00    9.856800
 -4.435  0.19330426E+02  0.37366537E+03  0.00000000E+00    9.834613
 -4.430  0.18929223E+02  0.35831547E+03  0.00000000E+00    9.812450
 -4.425  0.18536838E+02  0.34361436E+03  0.00000000E+00    9.790312
 -4.420  0.18153069E+02  0.32953390E+03  0.00000000E+00    9.768200
 -4.415  0.17777716E+02  0.31604718E+03  0.00000000E+00    9.746113
 -4.410  0.17410587E+02  0.30312852E+03  0.00000000E+00    9.724050
 -4.405  0.17051491E+02  0.29075336E+03  0.00000000E+00    9.702013
 -4.400  0.16700246E+02  0.27889821E+03  0.00000000E+00    9.680000
 -4.395  0.16356670E+02  0.26754064E+03  0.00000000E+00    9.658013
 -4.390  0.16020588E+02  0.25665923E+03  0.00000000E+00    9.636050
 -4.385  0.15691828E+02  0.24623346E+03  0.00000000E+00    9.614112
 -4.380  0.15370223E+02  0.23624374E+03  0.00000000E+00    9.592200
 -4.375  0.15055609E+02  0.22667135E+03  0.00000000E+00    9.570313
 -4.370  0.14747827E+02  0.21749839E+03  0.00000000E+00    9.548450
 -4.365  0.14446720E+02  0.20870773E+03  0.00000000E+00    9.526613
 -4.360  0.14152138E+02  0.20028301E+03  0.00000000E+00    9.504800
 -4.355  0.13863931E+02  0.19220859E+03  0.00000000E+00    9.483013
 -4.350  0.13581955E+02  0.18446949E+03  0.00000000E+00    9.461250
 -4.345  0.13306067E+02  0.17705142E+03  0.00000000E+00    9.439512
 -4.340  0.13036130E+02  0.16994070E+03  0.00000000E+00    9.417800
 -4.335  0.12772010E+02  0.16312423E+03  0.00000000E+00    9.396112
 -4.330  0.12513573E+02  0.15658951E+03  0.00000000E+00    9.374450
 -4.325  0.12260692E+02  0.15032458E+03  0.00000000E+00    9.352813
 -4.320  0.12013242E+02  0.14431798E+03  0.00000000E+00    9.331200
 -4.315  0.11771099E+02  0.13855876E+03  0.00000000E+00    9.309613
 -4.310  0.11534143E+02  0.13303646E+03  0.00000000E+00    9.288050
 -4.305  0.11302259E+02  0.12774106E+03  0.00000000E+00    9.266512
 -4.300  0.11075332E+02  0.12266298E+03  0.00000000E+00    9.245000
 -4.295  0.10853250E+02  0.11779303E+03  0.00000000E+00    9.223513
 -4.290  0.10635905E+02  0.11312247E+03  0.00000000E+00    9.202050
 -4.285  0.10423190E+02  0.10864289E+03  0.00000000E+00    9.180613
 -4.280  0.10215002E+02  0.10434626E+03  0.00000000E+00    9.159200
 -4.275  0.10011239E+02  0.10022490E+03  0.00000000E+00    9.137813
 -4.270  0.98118019E+01  0.96271456E+02  0.00000000E+00    9.116450
 -4.265  0.96165947E+01  0.92478894E+02  0.00000000E+00    9.095112
 -4.260  0.94255227E+01  0.88840479E+02  0.00000000E+00    9.073800
 -4.255  0.92384938E+01  0.85349767E+02  0.00000000E+00    9.052512
 -4.250  0.90554177E+01  0.82000590E+02  0.00000000E+00    9.031250
 -4.245  0.88762066E+01  0.78787044E+02  0.00000000E+00    9.010013
 -4.240  0.87007746E+01  0.75703478E+02  0.00000000E+00    8.988800
 -4.235  0.85290377E+01  0.72744483E+02  0.00000000E+00    8.967613
 -4.230  0.83609139E+01  0.69904881E+02  0.00000000E+00    8.946450
 -4.225  0.81963232E+01  0.67179715E+02  0.00000000E+00    8.925312
 -4.220  0.80351875E+01  0.64564238E+02  0.00000000E+00    8.904200
 -4.215  0.78774302E+01  0.62053906E+02  0.00000000E+00    8.883112
 -4.210  0.77229767E+01  0.59644369E+02  0.00000000E+00    8.862050
 -4.205  0.75717542E+01  0.57331461E+02  0.00000000E+00    8.841012
 -4.200  0.74236913E+01  0.55111193E+02  0.00000000E+00    8.820000
 -4.195  0.72787186E+01  0.52979744E+02  0.00000000E+00    8.799013
 -4.190  0.71367680E+01  0.50933457E+02  0.00000000E+00    8.778050
 -4.185  0.69977731E+01  0.48968828E+02  0.00000000E+00    8.757113
 -4.180  0.68616690E+01  0.47082502E+02  0.00000000E+00    8.736200
 -4.175  0.67283924E+01  0.45271264E+02  0.00000000E+00    8.715312
 -4.170  0.65978812E+01  0.43532036E+02  0.00000000E+00    8.694450
 -4.165  0.64700750E+01  0.41861870E+02  0.00000000E+00    8.673613
 -4.160  0.63449146E+01  0.40257941E+02  0.00000000E+00    8.652800
 -4.155  0.62223422E+01  0.38717542E+02  0.00000000E+00    8.632013
 -4.150  0.61023014E+01  0.37238082E+02  0.00000000E+00    8.611250
 -4.145  0.59847369E+01  0.35817076E+02  0.00000000E+00    8.590513
 -4.140  0.58695950E+01  0.34452145E+02  0.00000000E+00    8.569800
 -4.135  0.57568228E+01  0.33141009E+02  0.00000000E+00    8.549112
 -4.130  0.56463689E+01  0.31881482E+02  0.00000000E+00    8.528450
 -4.125  0.55381831E+01  0.30671472E+02  0.00000000E+00    8.507813
 -4.120  0.54322160E+01  0.29508971E+02  0.00000000E+00    8.487200
 -4.115  0.53284197E+01  0.28392057E+02  0.00000000E+00    8.466613
 -4.110  0.52267472E+01  0.27318887E+02  0.00000000E+00    8.446050
 -4.105  0.51271527E+01  0.26287695E+02  0.00000000E+00    8.425513
 -4.100  0.50295911E+01  0.25296787E+02  0.00000000E+00    8.405000
 -4.095  0.49340188E+01  0.24344542E+02  0.00000000E+00    8.384512
 -4.090  0.48403929E+01  0.23429403E+02  0.00000000E+00    8.364050
 -4.085  0.47486713E+01  0.22549880E+02  0.00000000E+00    8.343612
 -4.080  0.46588134E+01  0.21704542E+02  0.00000000E+00    8.323200
 -4.075  0.45707789E+01  0.20892020E+02  0.00000000E+00    8.302812
 -4.070  0.44845288E+01  0.20110999E+02  0.00000000E+00    8.282450
 -4.065  0.44000249E+01  0.19360219E+02  0.00000000E+00    8.262113
 -4.060  0.43172297E+01  0.18638472E+02  0.00000000E+00    8.241800
 -4.055  0.42361068E+01  0.17944601E+02  0.00000000E+00    8.221512
 -4.050  0.41566204E+01  0.17277493E+02  0.00000000E+00    8.201250
 -4.045  0.40787356E+01  0.16636084E+02  0.00000000E+00    8.181012
 -4.040  0.40024182E+01  0.16019352E+02  0.00000000E+00    8.160800
 -4.035  0.39276350E+01  0.15426316E+02  0.00000000E+00    8.140613
 -4.030  0.38543532E+01  0.14856038E+02  0.00000000E+00    8.120450
 -4.025  0.37825409E+01  0.14307616E+02  0.00000000E+00    8.100313
 -4.020  0.37121670E+01  0.13780184E+02  0.00000000E+00    8.080200
 -4.015  0.36432010E+01  0.13272914E+02  0.00000000E+00    8.060112
 -4.010  0.35756131E+01  0.12785009E+02  0.00000000E+00    8.040050
 -4.005  0.35093741E+01  0.12315706E+02  0.00000000E+00    8.020012
 -4.000  0.34444554E+01  0.11864273E+02  0.00000000E+00    8.000000
 -3.995  0.33808294E+01  0.11430007E+02  0.00000000E+00    7.980013
 -3.990  0.33184685E+01  0.11012233E+02  0.00000000E+00    7.960050
 -3.985  0.32573464E+01  0.10610305E+02  0.00000000E+00    7.940112
 -3.980  0.31974367E+01  0.10223602E+02  0.00000000E+00    7.920200
 -3.975  0.31387142E+01  0.98515267E+01  0.00000000E+00    7.900313
 -3.970  0.30811538E+01  0.94935088E+01  0.00000000E+00    7.880450
 -3.965  0.30247312E+01  0.91489989E+01  0.00000000E+00    7.860613
 -3.960  0.29694226E+01  0.88174703E+01  0.00000000E+00    7.840800
 -3.955  0.29152045E+01  0.84984175E+01  0.00000000E+00    7.821013
 -3.950  0.28620544E+01  0.81913553E+01  0.00000000E+00    7.801250
 -3.945  0.28099498E+01  0.78958176E+01  0.00000000E+00    7.781513
 -3.940  0.27588689E+01  0.76113574E+01  0.00000000E+00    7.761800
 -3.935  0.27087904E+01  0.73375454E+01  0.00000000E+00    7.742113
 -3.930  0.26596935E+01  0.70739693E+01  0.00000000E+00    7.722450
 -3.925  0.26115577E+01  0.68202334E+01  0.00000000E+00    7.702813
 -3.920  0.25643630E+01  0.65759578E+01  0.00000000E+00    7.683200
 -3.915  0.25180901E+01  0.63407777E+01  0.00000000E+00    7.663613
 -3.910  0.24727197E+01  0.61143427E+01  0.00000000E+00    7.644050
 -3.905  0.24282332E+01  0.58963164E+01  0.00000000E+00    7.624513
 -3.900  0.23846123E+01  0.56863757E+01  0.00000000E+00    7.605000
 -3.895  0.23418391E+01  0.54842103E+01  0.00000000E+00    7.585513
