# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.000 -0.49219656E-11  0.24225745E-22  0.00000000E+00   12.500000
 -4.290  0.48527400E-02  0.23549085E-04  0.00000000E+00    9.202050
 -4.285  0.49402946E-02  0.24406511E-04  0.00000000E+00    9.180613
 -4.280  0.50292524E-02  0.25293380E-04  0.00000000E+00    9.159200
 -4.275  0.51196333E-02  0.26210645E-04  0.00000000E+00    9.137813
 -4.270  0.52114574E-02  0.27159288E-04  0.00000000E+00    9.116450
 -4.265  0.53047450E-02  0.28140319E-04  0.00000000E+00    9.095112
 -4.260  0.53995166E-02  0.29154780E-04  0.00000000E+00    9.073800
 -4.255  0.54957930E-02  0.30203741E-04  0.00000000E+00    9.052512
 -4.250  0.55935952E-02  0.31288308E-04  0.00000000E+00    9.031250
 -4.245  0.56929444E-02  0.32409616E-04  0.00000000E+00    9.010013
 -4.240  0.57938620E-02  0.33568837E-04  0.00000000E+00    8.988800
 -4.235  0.58963697E-02  0.34767175E-04  0.00000000E+00    8.967613
 -4.230  0.60004893E-02  0.36005872E-04  0.00000000E+00    8.946450
 -4.225  0.61062430E-02  0.37286204E-04  0.00000000E+00    8.925312
 -4.220  0.62136531E-02  0.38609485E-04  0.00000000E+00    8.904200
 -4.215  0.63227422E-02  0.39977069E-04  0.00000000E+00    8.883112
 -4.210  0.64335332E-02  0.41390349E-04  0.00000000E+00    8.862050
 -4.205  0.65460489E-02  0.42850757E-04  0.00000000E+00    8.841012
 -4.200  0.66603128E-02  0.44359767E-04  0.00000000E+00    8.820000
 -4.195  0.67763484E-02  0.45918898E-04  0.00000000E+00    8.799013
 -4.190  0.68941794E-02  0.47529709E-04  0.00000000E+00    8.778050
 -4.185  0.70138297E-02  0.49193807E-04  0.00000000E+00    8.757113
 -4.180  0.71353237E-02  0.50912844E-04  0.00000000E+00    8.736200
 -4.175  0.72586858E-02  0.52688520E-04  0.00000000E+00    8.715312
 -4.170  0.73839407E-02  0.54522581E-04  0.00000000E+00    8.694450
 -4.165  0.75111134E-02  0.56416825E-04  0.00000000E+00    8.673613
 -4.160  0.76402291E-02  0.58373101E-04  0.00000000E+00    8.652800
 -4.155  0.77713132E-02  0.60393309E-04  0.00000000E+00    8.632013
 -4.150  0.79043915E-02  0.62479405E-04  0.00000000E+00    8.611250
 -4.145  0.80394898E-02  0.64633396E-04  0.00000000E+00    8.590513
 -4.140  0.81766344E-02  0.66857350E-04  0.00000000E+00    8.569800
 -4.135  0.83158517E-02  0.69153389E-04  0.00000000E+00    8.549112
 -4.130  0.84571684E-02  0.71523697E-04  0.00000000E+00    8.528450
 -4.125  0.86006114E-02  0.73970516E-04  0.00000000E+00    8.507813
 -4.120  0.87462079E-02  0.76496153E-04  0.00000000E+00    8.487200
 -4.115  0.88939854E-02  0.79102977E-04  0.00000000E+00    8.466613
 -4.110  0.90439716E-02  0.81793422E-04  0.00000000E+00    8.446050
 -4.105  0.91961943E-02  0.84569990E-04  0.00000000E+00    8.425513
 -4.100  0.93506819E-02  0.87435252E-04  0.00000000E+00    8.405000
 -4.095  0.95074627E-02  0.90391848E-04  0.00000000E+00    8.384512
 -4.090  0.96665655E-02  0.93442489E-04  0.00000000E+00    8.364050
 -4.085  0.98280193E-02  0.96589963E-04  0.00000000E+00    8.343612
 -4.080  0.99918532E-02  0.99837130E-04  0.00000000E+00    8.323200
 -4.075  0.10158097E-01  0.10318693E-03  0.00000000E+00    8.302812
 -4.070  0.10326780E-01  0.10664238E-03  0.00000000E+00    8.282450
 -4.065  0.10497932E-01  0.11020658E-03  0.00000000E+00    8.262113
 -4.060  0.10671584E-01  0.11388270E-03  0.00000000E+00    8.241800
